location,lat,lng
"South Wenatchee, Washington, WA, United States, US",47.3886,-120.2829
"Snoqualmie Pass, Washington, WA, United States, US",47.4014,-121.4109
"Hartline, Washington, WA, United States, US",47.6895,-119.1081
"Lake Forest Park, Washington, WA, United States, US",47.7597,-122.2878
"Crocker, Washington, WA, United States, US",47.0843,-122.1225
"Elbe, Washington, WA, United States, US",46.7653,-122.1946
"Ravensdale, Washington, WA, United States, US",47.3563,-121.9692
"Arlington, Washington, WA, United States, US",48.1697,-122.1446
"McChord AFB, Washington, WA, United States, US",47.1328,-122.4924
"Lebam, Washington, WA, United States, US",46.5641,-123.5509
"Lynden, Washington, WA, United States, US",48.9503,-122.4544
"Coupeville, Washington, WA, United States, US",48.2172,-122.6775
"Prescott, Washington, WA, United States, US",46.2988,-118.3126
"South Bend, Washington, WA, United States, US",46.668,-123.8008
"Mabton, Washington, WA, United States, US",46.2115,-119.9938
"North Bend, Washington, WA, United States, US",47.4898,-121.7738
"Grapeview, Washington, WA, United States, US",47.3316,-122.8413
"Garfield, Washington, WA, United States, US",47.0103,-117.1395
"Rochester, Washington, WA, United States, US",46.8288,-123.0722
"Dayton, Washington, WA, United States, US",46.3168,-117.9769
"Algona, Washington, WA, United States, US",47.2822,-122.2504
"Mineral, Washington, WA, United States, US",46.7193,-122.1859
"Barstow, Washington, WA, United States, US",48.7783,-118.1329
"Moclips, Washington, WA, United States, US",47.2348,-124.2025
"Bellingham, Washington, WA, United States, US",48.7543,-122.4687
"Vader, Washington, WA, United States, US",46.4045,-122.9569
"North Lynnwood, Washington, WA, United States, US",47.8533,-122.2762
"Tracyton, Washington, WA, United States, US",47.6095,-122.6533
"White Salmon, Washington, WA, United States, US",45.7282,-121.4853
"Peaceful Valley, Washington, WA, United States, US",48.9477,-122.1406
"East Renton Highlands, Washington, WA, United States, US",47.4718,-122.0854
"Metaline, Washington, WA, United States, US",48.854,-117.3899
"Deming, Washington, WA, United States, US",48.8381,-122.2313
"Medical Lake, Washington, WA, United States, US",47.5712,-117.6893
"Aberdeen, Washington, WA, United States, US",46.9757,-123.8095
"Chehalis, Washington, WA, United States, US",46.6637,-122.9647
"Onalaska, Washington, WA, United States, US",46.5783,-122.7112
"Toledo, Washington, WA, United States, US",46.4414,-122.8496
"Everson, Washington, WA, United States, US",48.9123,-122.351
"Belfair, Washington, WA, United States, US",47.4495,-122.8487
"Lynnwood, Washington, WA, United States, US",47.8285,-122.3035
"Colton, Washington, WA, United States, US",46.5675,-117.1285
"Malden, Washington, WA, United States, US",47.2296,-117.4731
"Ames Lake, Washington, WA, United States, US",47.6346,-121.9664
"Wilson Creek, Washington, WA, United States, US",47.423,-119.1176
"North Yelm, Washington, WA, United States, US",46.9647,-122.6029
"Mirrormont, Washington, WA, United States, US",47.4616,-121.9936
"Whidbey Island Station, Washington, WA, United States, US",48.3387,-122.6616
"Town and Country, Washington, WA, United States, US",47.7259,-117.4221
"Tokeland, Washington, WA, United States, US",46.709,-123.9839
"Snoqualmie, Washington, WA, United States, US",47.5293,-121.8412
"Bremerton, Washington, WA, United States, US",47.5436,-122.7121
"East Cathlamet, Washington, WA, United States, US",46.1968,-123.358
"Fort Lewis, Washington, WA, United States, US",47.0955,-122.5672
"Salmon Creek, Washington, WA, United States, US",45.7099,-122.6632
"Skykomish, Washington, WA, United States, US",47.7103,-121.3586
"Tacoma, Washington, WA, United States, US",47.2431,-122.4531
"Monroe, Washington, WA, United States, US",47.8596,-121.9853
